xx,mac,xx,省份,城市,合作商,网点,点位
,00:e0:70:2e:00:377,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:378,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:379,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:380,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:381,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:382,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:383,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:384,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:385,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:386,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:387,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:388,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:389,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:390,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:391,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:392,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:393,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:394,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:395,,浙江省,湖州市,,长兴高铁站,某个位置
,00:e0:70:2e:00:396,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:397,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:398,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:399,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:400,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:401,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:402,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:403,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:404,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:405,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:406,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:407,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:408,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:409,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:410,,浙江省,湖州市,,德清高铁站,某个位置
,00:e0:70:2e:00:411,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:412,,浙江省,绍兴市,,绍兴站,某个位置
,00:e0:70:2e:00:413,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:414,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:415,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:416,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:417,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:418,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:419,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:420,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:421,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:422,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:423,,浙江省,金华市,,金华站,某个位置
,00:e0:70:2e:00:424,,浙江省,金华市,,金华站,某个位置
,00:e0:70:2e:00:425,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:426,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:427,,浙江省,金华市,,永康南站,某个位置
,00:e0:70:2e:00:428,,浙江省,金华市,,永康南站,某个位置
,00:e0:70:2e:00:429,,浙江省,金华市,,永康南站,某个位置
